,open,high,low,close,volume,time
1379,317.6700,317.8400,317.6700,317.7600,26114,2020-02-04 12:28:00
1380,317.8400,317.9250,317.6800,317.6900,47919,2020-02-04 12:27:00
1381,317.9250,318.0400,317.8100,317.8167,28909,2020-02-04 12:26:00
1382,318.1131,318.1131,317.9200,317.9250,34995,2020-02-04 12:25:00
1383,317.8200,318.1300,317.8200,318.0800,68739,2020-02-04 12:24:00
1384,317.7510,317.8800,317.7300,317.8150,42871,2020-02-04 12:23:00
1385,317.4900,317.8300,317.3800,317.7782,71541,2020-02-04 12:22:00
1386,317.5300,317.7100,317.4600,317.5000,89489,2020-02-04 12:21:00
1387,317.9300,318.0300,317.4900,317.5150,83098,2020-02-04 12:20:00
1388,317.9100,318.0100,317.7200,317.9450,64302,2020-02-04 12:19:00
1389,318.0862,318.4604,317.8700,317.9037,88648,2020-02-04 12:18:00
1390,318.2000,318.2200,318.0566,318.0621,37742,2020-02-04 12:17:00
1391,317.9899,318.2000,317.9899,318.1716,32737,2020-02-04 12:16:00
1392,317.8850,318.0600,317.8600,317.9700,44615,2020-02-04 12:15:00
1393,318.1306,318.1500,317.8200,317.8700,73846,2020-02-04 12:14:00
1394,318.2500,318.3800,318.0700,318.1100,66865,2020-02-04 12:13:00
1395,318.1500,318.3700,318.0719,318.2300,58294,2020-02-04 12:12:00
1396,318.0000,318.1862,317.9400,318.1451,52294,2020-02-04 12:11:00
1397,318.0100,318.0800,317.8100,318.0200,48873,2020-02-04 12:10:00
1398,318.1600,318.1600,317.9500,318.0100,67558,2020-02-04 12:09:00
1399,318.2600,318.2600,318.1110,318.1400,40735,2020-02-04 12:08:00
1400,318.1270,318.3000,318.1270,318.2408,34108,2020-02-04 12:07:00
1401,318.3700,318.3900,318.0650,318.1500,59152,2020-02-04 12:06:00
1402,318.2741,318.4400,318.1850,318.3500,53070,2020-02-04 12:05:00
1403,318.1190,318.3000,318.0500,318.2832,65640,2020-02-04 12:04:00
1404,318.1700,318.3387,318.0800,318.1100,53040,2020-02-04 12:03:00
1405,318.2000,318.4100,318.0627,318.1200,78401,2020-02-04 12:02:00
1406,318.4247,318.4247,318.1239,318.2100,57607,2020-02-04 12:01:00
1407,318.3500,318.4400,318.2600,318.4000,59291,2020-02-04 12:00:00
1408,318.4800,318.4900,318.2500,318.3596,33693,2020-02-04 11:59:00
1409,318.3892,318.5100,318.3700,318.4300,48478,2020-02-04 11:58:00
1410,318.3480,318.5400,318.2900,318.3900,66754,2020-02-04 11:57:00
1411,318.3645,318.4399,318.1300,318.3114,77467,2020-02-04 11:56:00
1412,318.6200,318.6898,318.2000,318.3400,134909,2020-02-04 11:55:00
1413,318.8470,319.0600,318.5700,318.6000,122170,2020-02-04 11:54:00
1414,318.6400,318.9482,318.6000,318.8300,74344,2020-02-04 11:53:00
1415,318.9300,318.9400,318.3600,318.6150,270392,2020-02-04 11:52:00
1416,318.9300,318.9899,318.8102,318.9400,42358,2020-02-04 11:51:00
1417,319.0500,319.1297,318.9100,318.9100,36913,2020-02-04 11:50:00
1418,319.0000,319.1900,318.9700,319.0500,34318,2020-02-04 11:49:00
1419,318.9600,319.1700,318.9600,318.9700,97182,2020-02-04 11:48:00
1420,318.5400,318.9900,318.5400,318.9700,57431,2020-02-04 11:47:00
1421,318.7700,318.8200,318.3900,318.5887,110771,2020-02-04 11:46:00
1422,318.9500,318.9500,318.7100,318.8200,95398,2020-02-04 11:45:00
1423,319.2200,319.2700,318.8700,318.9300,93447,2020-02-04 11:44:00
1424,319.2800,319.4100,319.1630,319.2213,75344,2020-02-04 11:43:00
1425,319.2700,319.3632,319.2000,319.2701,78797,2020-02-04 11:42:00
1426,319.4200,319.5000,319.2600,319.2887,127270,2020-02-04 11:41:00
1427,319.4550,319.5200,319.3000,319.4213,102031,2020-02-04 11:40:00
1428,319.2600,319.4900,319.2100,319.4475,106710,2020-02-04 11:39:00
1429,319.0800,319.3300,319.0200,319.2200,120621,2020-02-04 11:38:00
1430,319.0000,319.1500,318.9612,319.0600,82517,2020-02-04 11:37:00
1431,319.0496,319.0630,318.9000,318.9748,104949,2020-02-04 11:36:00
1432,318.6150,319.0656,318.6000,319.0500,230622,2020-02-04 11:35:00
1433,318.4838,318.6200,318.4200,318.6200,82742,2020-02-04 11:34:00
1434,318.3500,318.5400,318.3179,318.5000,120802,2020-02-04 11:33:00
1435,318.0000,318.3500,317.9306,318.3464,74703,2020-02-04 11:32:00
1436,318.0900,318.2100,317.9700,317.9700,63817,2020-02-04 11:31:00
1437,318.1550,318.2700,318.0600,318.0842,58610,2020-02-04 11:30:00
1438,318.0419,318.2000,318.0419,318.1600,37523,2020-02-04 11:29:00
1439,318.1000,318.1800,317.9701,318.0300,65005,2020-02-04 11:28:00
1440,318.1350,318.2800,318.0800,318.0800,43276,2020-02-04 11:27:00
1441,318.2100,318.3200,318.1100,318.1267,43117,2020-02-04 11:26:00
1442,318.1790,318.3200,318.1500,318.1950,87081,2020-02-04 11:25:00
1443,318.0250,318.2100,317.9900,318.1800,67561,2020-02-04 11:24:00
1444,318.0260,318.0350,318.0250,318.0350,95009,2020-02-04 11:23:00
1445,318.0500,318.0600,317.8900,318.0000,102678,2020-02-04 11:21:00
1446,318.0700,318.1200,318.0300,318.0500,159689,2020-02-04 11:19:00
1447,317.8540,317.9200,317.8400,317.8800,14946,2020-02-04 11:18:00
1448,317.8613,317.9003,317.7200,317.8500,72452,2020-02-04 11:17:00
1449,317.9100,318.0000,317.7201,317.8765,95378,2020-02-04 11:16:00
1450,317.7500,317.9100,317.6100,317.9062,84471,2020-02-04 11:15:00
1451,317.7200,317.7700,317.6587,317.7350,48422,2020-02-04 11:14:00
1452,317.6713,317.7900,317.6000,317.7050,78047,2020-02-04 11:13:00
1453,317.5200,317.7800,317.5200,317.6300,94132,2020-02-04 11:12:00
1454,317.4900,317.5900,317.3900,317.4900,66559,2020-02-04 11:11:00
1455,317.3643,317.4577,317.3200,317.4000,47424,2020-02-04 11:10:00
1456,317.4800,317.4800,317.2100,317.3350,65707,2020-02-04 11:09:00
1457,317.4600,317.5698,317.4600,317.4800,36693,2020-02-04 11:08:00
1458,317.4600,317.5900,317.4100,317.4505,74188,2020-02-04 11:07:00
1459,317.2200,317.4900,317.2200,317.4600,65070,2020-02-04 11:06:00
1460,317.3300,317.4400,317.1800,317.2200,48186,2020-02-04 11:05:00
1461,317.3800,317.4300,317.1700,317.3150,56419,2020-02-04 11:04:00
1462,317.3800,317.4500,317.3200,317.3800,49053,2020-02-04 11:03:00
1463,317.4067,317.4196,317.3061,317.3700,56895,2020-02-04 11:02:00
1464,317.4800,317.6500,317.1332,317.3700,102714,2020-02-04 11:01:00
1465,317.2800,317.5100,317.2800,317.4800,97978,2020-02-04 11:00:00
1466,317.1050,317.3100,317.0100,317.2700,57787,2020-02-04 10:59:00
1467,317.1700,317.1995,317.0100,317.1049,65226,2020-02-04 10:58:00
1468,317.3200,317.4000,317.1500,317.1700,60280,2020-02-04 10:57:00
1469,317.3800,317.4800,317.2500,317.3400,55139,2020-02-04 10:56:00
1470,317.1460,317.4500,317.0800,317.3500,120440,2020-02-04 10:55:00
1471,317.1350,317.2700,317.0200,317.1600,115465,2020-02-04 10:54:00
1472,317.0400,317.1995,316.9800,317.1004,62163,2020-02-04 10:53:00
1473,316.9013,317.0700,316.8993,317.0400,94553,2020-02-04 10:52:00
1474,316.4600,316.6900,316.4600,316.5200,35831,2020-02-04 10:51:00
1475,316.4050,316.5100,316.2000,316.4850,78687,2020-02-04 10:50:00
1476,317.0900,317.1400,316.1400,316.3850,209340,2020-02-04 10:49:00
1477,317.0700,317.1700,317.0000,317.0876,61066,2020-02-04 10:48:00
1478,316.8600,317.0643,316.8300,317.0470,46100,2020-02-04 10:47:00
1479,317.0200,317.1400,316.5600,316.8371,112456,2020-02-04 10:46:00
1480,317.2600,317.2955,316.8700,316.9600,65547,2020-02-04 10:45:00
1481,317.1873,317.3400,317.0402,317.2700,110230,2020-02-04 10:44:00
1482,317.0450,317.2432,317.0200,317.1400,83490,2020-02-04 10:43:00
1483,316.8400,317.1000,316.7700,317.0699,90818,2020-02-04 10:42:00
1484,316.7541,316.9731,316.7100,316.8200,81407,2020-02-04 10:41:00
1485,316.8012,316.8677,316.6025,316.7500,124682,2020-02-04 10:40:00
1486,317.2036,317.2900,316.6300,316.7923,180135,2020-02-04 10:39:00
1487,316.9800,317.2500,316.9800,317.2000,128178,2020-02-04 10:38:00
1488,317.1113,317.2400,316.8600,316.9608,120360,2020-02-04 10:37:00
1489,316.5397,317.1200,316.5100,317.1050,229484,2020-02-04 10:36:00
1490,316.5784,316.6570,316.4310,316.5319,77937,2020-02-04 10:35:00
1491,316.6000,316.7000,316.4800,316.5847,85982,2020-02-04 10:34:00
1492,316.7386,316.7800,316.4100,316.5999,110962,2020-02-04 10:33:00
1493,316.4086,316.8100,316.3900,316.7471,189778,2020-02-04 10:32:00
1494,316.2550,316.4100,316.1200,316.4100,127275,2020-02-04 10:31:00
1495,316.1900,316.2850,316.0700,316.2300,98845,2020-02-04 10:30:00
1496,316.1850,316.3900,316.1500,316.1900,95856,2020-02-04 10:29:00
1497,315.6900,316.3000,315.6900,316.1704,165029,2020-02-04 10:28:00
1498,315.6900,315.7300,315.6000,315.7100,46878,2020-02-04 10:27:00
1499,315.6943,315.8000,315.5700,315.6700,84506,2020-02-04 10:26:00
1500,315.3804,315.7600,315.3588,315.6900,105908,2020-02-04 10:25:00
1501,315.1000,315.4400,315.0300,315.4100,132231,2020-02-04 10:24:00
1502,315.3000,315.3698,315.0900,315.1100,91910,2020-02-04 10:23:00
1503,315.3300,315.3300,315.1300,315.2800,64360,2020-02-04 10:22:00
